연도,분기,지역,60제곱미터 이하,60제곱미터 초과 85제곱미터 이하,85제곱미터 초과
2024,2분기  ,강원  ,272,446,517
2024,2분기  ,충북  ,0,424,399
2024,2분기  ,충남  ,0,371,343
2024,2분기  ,전북  ,344,363,377
2024,2분기  ,전남  ,0,440,467
2024,2분기  ,경북  ,0,0,0
2024,2분기  ,경남  ,0,508,460
2024,2분기  ,제주  ,0,0,0
2024,3분기  ,서울  ,1529,1788,1956
2024,3분기  ,경기  ,822,637,567
2024,3분기  ,인천  ,565,591,644
2024,3분기  ,부산  ,883,801,0
2024,3분기  ,대구  ,575,600,0
2024,3분기  ,광주  ,223,518,0
2024,3분기  ,대전  ,686,646,693
2024,3분기  ,울산  ,671,637,622
2024,3분기  ,세종  ,0,0,0
2024,3분기  ,강원  ,393,414,482
2024,3분기  ,충북  ,445,0,0
2024,3분기  ,충남  ,0,413,440
2024,3분기  ,전북  ,386,377,424
2024,3분기  ,전남  ,0,0,0
2024,3분기  ,경북  ,0,430,476
2024,3분기  ,경남  ,322,324,0
2024,3분기  ,제주  ,0,811,841
2024,4분기  ,서울  ,1438,1316,1171
2024,4분기  ,경기  ,575,542,562
2024,4분기  ,인천  ,616,604,536
2024,4분기  ,부산  ,726,735,786
2024,4분기  ,대구  ,0,631,647
2024,4분기  ,광주  ,0,0,0
2024,4분기  ,대전  ,519,607,666
2024,4분기  ,울산  ,0,559,631
2024,4분기  ,세종  ,182,0,0
2024,4분기  ,강원  ,258,391,450
2024,4분기  ,충북  ,0,402,393
2024,4분기  ,충남  ,397,447,479
2024,4분기  ,전북  ,162,403,232
2024,4분기  ,전남  ,460,441,428
2024,4분기  ,경북  ,0,0,0
2024,4분기  ,경남  ,0,0,0
2024,4분기  ,제주  ,0,0,0
2025,1분기  ,서울  ,2149,2127,2079
2025,1분기  ,경기  ,542,677,0
2025,1분기  ,인천  ,515,513,0
2025,1분기  ,부산  ,542,646,0
2025,1분기  ,대구  ,735,649,714
2025,1분기  ,광주  ,0,432,573
2025,1분기  ,대전  ,502,199,0
2025,1분기  ,울산  ,489,604,0
2025,1분기  ,세종  ,0,551,0
2025,1분기  ,강원  ,541,415,0
2025,1분기  ,충북  ,512,525,0
2025,1분기  ,충남  ,0,507,585
2025,1분기  ,전북  ,451,480,473
2025,1분기  ,전남  ,0,0,0
2025,1분기  ,경북  ,0,455,519
2025,1분기  ,경남  ,419,426,424
2025,1분기  ,제주  ,0,0,0
2025,2분기  ,서울  ,1365,1101,887
2025,2분기  ,경기  ,623,575,615
2025,2분기  ,인천  ,681,614,584
2025,2분기  ,부산  ,570,601,677
2025,2분기  ,대구  ,0,745,1243
2025,2분기  ,광주  ,377,535,787
2025,2분기  ,대전  ,360,524,526
2025,2분기  ,울산  ,669,534,511
2025,2분기  ,세종  ,0,0,0
2025,2분기  ,강원  ,0,0,0
2025,2분기  ,충북  ,386,421,0
2025,2분기  ,충남  ,450,462,614
2025,2분기  ,전북  ,162,0,0
2025,2분기  ,전남  ,0,335,401
2025,2분기  ,경북  ,0,399,407
2025,2분기  ,경남  ,375,475,495
2025,2분기  ,제주  ,0,0,0
2025,3분기  ,서울  ,1635,1302,0
2025,3분기  ,경기  ,1079,644,596
2025,3분기  ,인천  ,619,542,518
2025,3분기  ,부산  ,511,843,1464
2025,3분기  ,대구  ,735,736,0
2025,3분기  ,광주  ,565,529,598
2025,3분기  ,대전  ,0,151,0
2025,3분기  ,울산  ,250,601,610
2025,3분기  ,세종  ,0,0,0
