공고명,공고시작일,공고종료일,공고등록일
다산신도시 진건지구 주유소용지 재공급 공고,2021-09-01,2021-09-28,2021-09-01
고양관광문화단지 단독주택용지 재공급 공고,2021-09-01,2021-09-28,2021-09-01
고양관광문화단지 단독주택용지 입찰결과,2021-06-22,2021-06-30,2021-06-22
고덕국제화계획지구(택지) 이주자택지 추가 공급공고(일반실수요자 신청불가),2021-06-10,2021-12-31,2021-06-10
고양관광문화단지 단독주택용지 공급공고,2021-06-04,2022-06-03,2021-06-04
고양관광문화단지 단독주택용지 사전공급안내,2021-05-26,2021-06-30,2021-05-26
"다산신도시 상업, 주차장, 주유소, 점포겸용 단독주택용지 개찰결과(2021.05.11일자 공고분)",2021-05-25,2021-06-02,2021-05-25
"다산신도시 상업, 주차장, 주유소, 점포겸용 단독주택용지 공급공고",2021-05-11,2021-06-02,2021-05-11
다산신도시 사전공급공고 안내,2021-04-23,2021-12-31,2021-04-23
화성동탄(2) 근린생활시설용지 및 근린상업용지 재공급공고 취소안내,2021-03-29,2021-04-05,2021-03-29
화성동탄(2) 도시지원시설용지 수의계약 중단 안내,2021-03-29,2021-12-31,2021-03-29
평택고덕 주거전용 단독주택용지 수의계약 중단 안내,2021-03-29,2021-12-31,2021-03-29
화성동탄(2) 근린상업용지 수의계약 중단 안내,2021-03-29,2021-12-31,2021-03-29
화성동탄(2) 도시지원시설용지 지원65 수의계약 중단 안내,2021-03-23,2021-12-31,2021-03-23
화성동탄(2) 근린생활시설용지 및 근린상업용지 재공급공고,2021-03-08,2021-04-05,2021-03-08
화성동탄(2) 주거전용 단독주택용지 재공급공고(D33),2021-02-25,2021-03-17,2021-02-25
"화성동탄(2) 점포겸용 단독주택용지 재공급공고(D20,D21)",2021-02-25,2021-03-10,2021-02-25
"화성동탄(2) 주거전용 단독주택용지 수의계약 종료 알림(D28,D33)",2021-01-15,2021-01-31,2021-01-15
"화성동탄(2) 근린생활시설용지 재공급공고(근생71,72,74)",2021-01-08,2021-12-31,2021-01-08
평택고덕 주거전용 단독주택용지 수의계약공고(Fd7),2020-11-30,2021-11-29,2020-11-30
다산신도시 근생용지 개찰결과(2020.10.13일자 공고분),2020-10-27,2020-12-31,2020-10-27
"화성동탄(2) 주거전용 단독주택용지(D28,D33) 수의계약 신청접수 유의사항 안내",2020-10-21,2020-10-22,2020-10-21
다산신도시 근린생활시설용지 공급공고,2020-10-13,2020-10-27,2020-10-13
