사업지구명,블록명,위치,공급유형,세대수,준공예정일
부여동남(마을정비형),1,충청남도 부여군 부여읍 52 일원,행복주택,50,2027-12-31
의정부우정,A3,경기도 의정부시 녹양동,공공임대(10년),640,2028-12-31
의정부우정,A1,경기도 의정부시 녹양동,공공분양,538,2027-11-30
의정부우정,A2,경기도 의정부시 녹양동,공공분양,463,2028-12-31
옹진대청,1,인천광역시 옹진군 대청면 1094-1번지 일원,국민임대,42,2027-12-31
옹진대청,1,인천광역시 옹진군 대청면 1094-1번지 일원,영구임대,8,2027-12-31
성남신촌,A1,경기도 성남시 수정구 신촌동,통합공공임대,227,2026-06-30
성남신촌,A2,경기도 성남시 수정구 신촌동,공공분양,320,2026-05-29
안산장상,A-1,경기도 안산시 상록구 장상동 장하동 일원,공공분양,299,2027-12-31
안산장상,A-1,경기도 안산시 상록구 장상동 장하동 일원,행복주택,150,2027-12-31
안산장상,A-9,경기도 안산시 상록구 장상동 장하동 일원,공공분양,673,2027-12-31
시흥거모(공공주택),A5,경기도 시흥시 거모동 1335번지 일원,공공분양,290,2029-02-28
시흥거모(공공주택),A5,경기도 시흥시 거모동 1335번지 일원,행복주택,145,2029-02-28
시흥거모(공공주택),A10,경기도 시흥시 거모동 1335번지 일원,공공분양,301,2029-04-30
시흥거모(공공주택),S-1,경기도 시흥시 거모동 1335번지 일원,공공분양,300,2028-11-30
시흥거모(공공주택),A3,경기도 시흥시 거모동 1335번지 일원,통합공공임대,813,2027-06-30
시흥거모(공공주택),A7,경기도 시흥시 거모동 1335번지 일원,공공임대(6년),565,2027-06-30
의왕청계2,A1,경기도 의왕시 청계동 일원 A1블록 사전청약 설계확정,공공분양,320,2027-02-26
의왕청계2,A1,경기도 의왕시 청계동 일원 A1블록 사전청약 설계확정,행복주택,160,2027-02-26
의왕청계2,A-4,경기도 의왕시 청계동 일원,통합공공임대,400,2027-03-31
인천계양(공공주택),A2,인천광역시 계양구 동양동 172번지 일원,공공분양,747,2026-10-31
인천계양(공공주택),A3,인천광역시 계양구 동양동 172번지 일원,공공분양,359,2026-10-31
인천계양(공공주택),A3,인천광역시 계양구 동양동 172번지 일원,행복주택,179,2026-10-31
인천계양(공공주택),A6,인천광역시 계양구 동양동 172번지 일원,공공분양,663,2028-12-31
인천계양(공공주택),A9,인천광역시 계양구 동양동 172번지 일원,공공분양,317,2028-12-31
인천계양(공공주택),A9,인천광역시 계양구 동양동 172번지 일원,행복주택,158,2028-12-31
인천계양(공공주택),A10,인천광역시 계양구 동양동 172번지 일원,통합공공임대,778,2028-09-30
서울목동(가로주택),01,서울특별시 양천구 목동 일원 목동 557,통합공공임대,18,2027-04-30
고양창릉,S-06,경기도 고양시 덕양구 용두동 827번지 일원,공공분양,430,2028-05-31
고양창릉,S-05,경기도 고양시 덕양구 용두동 827번지 일원,공공분양,759,2028-05-31
고양창릉,A-04,경기도 고양시 덕양구 용두동 827번지 일원,공공분양,603,2028-05-31
고양창릉,A-04,경기도 고양시 덕양구 용두동 827번지 일원,행복주택,297,2028-05-31
고양창릉,S-01,경기도 고양시 덕양구 용두동 827번지 일원,공공분양,494,2029-02-28
고양창릉,S-02,경기도 고양시 덕양구 용두동 827번지 일원,분양주택(이익공유형),1057,2029-05-31
