연월,시도,특별공급 공급세대수,특별공급 접수건수,특별공급 경쟁률,일반공급 공급세대수,일반공급 접수건수,일반공급 경쟁률
2023-08,전남,909,449,(△460),611,6700,10.97
2023-08,경북,16,1,(△15),19,10,(△9)
2023-08,경남,280,25,(△255),243,92,(△151)
2023-08,제주,0,0,0.00,204,64,(△140)
2023-09,서울,192,2929,15.26,117,9013,77.03
2023-09,부산,196,428,2.18,299,5675,18.98
2023-09,인천,1779,4928,2.77,1522,35599,23.39
2023-09,광주,502,198,(△304),1137,7110,6.25
2023-09,울산,220,13,(△207),182,465,2.55
2023-09,경기,671,704,1.05,627,6378,10.17
2023-09,강원,84,117,1.39,144,2317,16.09
2023-09,충북,228,497,2.18,416,7120,17.12
2023-09,전남,1109,567,(△542),794,7637,9.62
2023-09,경남,20,1,(△19),25,2,(△23)
2023-09,제주,0,0,0.00,93,43,(△50)
2023-10,서울,990,10090,10.19,1115,32295,28.96
2023-10,부산,509,377,(△132),558,4406,7.90
2023-10,인천,450,485,1.08,331,2733,8.26
2023-10,대전,264,309,1.17,264,2598,9.84
2023-10,울산,718,52,(△666),391,733,1.87
2023-10,경기,4592,13592,2.96,5664,163412,28.85
2023-10,강원,758,1652,2.18,891,24477,27.47
2023-10,충남,1378,628,(△750),681,3613,5.31
2023-10,전북,355,76,(△279),573,1862,3.25
2023-10,경북,413,23,(△390),972,1395,1.44
2023-11,서울,188,15374,81.78,278,29475,106.03
2023-11,부산,2011,424,(△1587),1789,3196,1.79
2023-11,인천,1577,287,(△1290),1731,2600,1.50
2023-11,대전,294,104,(△190),274,464,1.69
2023-11,경기,2049,4976,2.43,1674,43786,26.16
2023-11,강원,506,414,(△92),598,6494,10.86
2023-11,충북,625,5313,8.50,1532,107139,69.93
2023-11,전북,51,0,(△51),78,7,(△71)
2023-11,경북,259,142,(△117),561,3644,6.50
2023-11,경남,110,1,(△109),111,10,(△101)
2023-12,서울,431,5398,12.52,491,18889,38.47
2023-12,부산,175,49,(△126),203,528,2.60
2023-12,인천,618,1864,3.02,721,17693,24.54
